station_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
71,3.387994,3.353173,3.243878,3.537004,3.803713,3.89576,3.800841,3.750707,3.632826,3.644069,3.096466,3.039301
72,2.901039,3.004743,3.748152,4.199832,4.202086,3.959061,4.056453,4.255754,3.893476,3.881679,3.310996,2.802561
73,3.33579,3.437216,4.054488,4.469109,4.261432,4.353175,4.427975,4.832572,4.258846,4.393451,3.523921,3.056684
74,2.684202,3.008429,3.491642,3.795052,3.786011,3.641419,3.559885,3.776195,3.655904,3.390784,2.938354,2.603428
75,3.103673,3.303441,3.66264,4.31743,4.043142,3.997116,4.148036,4.338725,3.921549,3.924721,3.28776,2.865833
76,2.799139,2.936068,3.366606,3.73933,3.551563,3.535863,3.375317,3.365864,3.129148,3.284555,2.809617,2.727969
77,3.368102,3.314168,3.202968,3.386374,3.715643,3.608833,3.68669,3.663472,3.403782,3.397001,3.167469,3.014082
78,3.152045,3.292076,3.832008,4.393604,4.124662,4.164037,4.330922,4.661294,4.087164,4.178527,3.421822,2.976131
79,3.332572,3.298052,3.184433,3.355438,3.730848,3.637543,3.684582,3.675554,3.408731,3.383348,3.150688,2.993169
80,4.093712,3.93139,3.980103,4.196317,4.245427,4.382805,3.95022,3.957682,3.856699,4.586874,3.560498,3.532687
